LA_name,LA_code,Total Covid deaths,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over,Household is not deprived in any dimension,Household is deprived in one dimension,Household is deprived in two dimensions,Household is deprived in three dimensions,Household is deprived in four dimensions,1 person in household,2 people in household,3 people in household,4 people in household,5 people in household,6 people in household,7 people in household,8 or more people in household
Crawley,E07000226,200,7640,8076,9209,5121,6556,18618,26595,20926,8838,4585,2331,20934,15812,6931,1708,119,17851,20858,11024,9760,2853,759,201,106
Croydon,E09000008,913,25171,24992,30158,17612,21620,59140,85735,73218,29022,16944,7106,73406,51772,21635,5581,552,16714,17262,7362,5287,1679,444,122,52
Dacorum,E07000096,311,9578,9929,11791,6216,7106,19979,32862,30658,14292,8660,4011,34197,20159,7241,1673,142,11827,14013,8413,7779,2633,706,233,92
Darlington,E06000005,244,5494,6330,7869,4545,5426,13347,20122,22629,11939,7269,2837,23775,16384,6944,1738,76,33054,33738,16423,13325,5234,1998,812,1068
Dartford,E07000107,285,8282,8268,9506,4754,5630,17783,26210,20283,8602,5223,2215,23846,14682,5787,1282,99,9890,13182,4401,3511,986,233,57,23
Derby,E06000015,707,15219,16898,20055,13273,18527,36732,51142,46725,22435,14260,6088,48185,35658,16606,4907,296,41667,47031,21951,15610,5110,1492,414,204
Derbyshire Dales,E07000035,167,2633,3304,4540,2747,2774,6129,11529,17863,10641,6810,2566,17089,10764,3770,625,36,15658,18675,7732,5619,1950,608,199,107
Doncaster,E08000017,799,16942,18122,22120,12638,16214,42041,56796,63384,32859,19540,7452,58391,46328,22336,6171,253,41709,46526,22691,17069,5961,1993,682,436
Dover,E07000108,339,5669,6493,8113,4632,5408,13423,19697,25073,15055,9406,3438,22821,17679,8002,1918,127,35662,35953,23795,21198,9717,3984,1722,1627
Dudley,E08000027,723,18176,19775,23049,14030,17011,41811,59241,64342,33822,23469,8769,60524,47358,23098,5837,256,10291,13877,5901,5140,1488,358,99,49
Ealing,E09000009,741,21515,22245,27984,17463,22626,59678,86819,64326,24982,13965,5519,61527,45652,20275,5686,518,20056,27221,8914,7329,2324,646,182,116
East Cambridgeshire,E07000009,97,4519,5271,6543,3430,3664,10170,17990,17957,9697,6077,2444,19868,12385,4128,790,30,13910,20238,8392,7348,2100,542,129,58
East Devon,E07000040,181,6491,7707,9241,5591,6190,14314,24027,32034,22249,15929,7048,33888,23621,7809,1385,85,16952,21563,10360,9683,2694,609,111,50
East Hampshire,E07000085,196,6010,6945,8960,5306,5406,12948,22894,28212,15032,9982,4046,30044,16634,5006,973,61,19800,27693,8643,5691,2023,586,214,104
East Hertfordshire,E07000242,230,8316,8931,11759,6242,6973,18462,30758,31326,14607,8944,3842,35445,19214,6201,1121,40,45678,61113,21775,17064,4743,1239,316,139
East Lindsey,E07000137,319,5635,6528,8714,4922,5924,13431,20365,33441,23355,14988,4989,25757,23906,11962,2954,175,14760,18209,8252,6446,2305,822,290,208
East Riding of Yorkshire,E07000193,748,14687,17369,22019,13163,14437,34840,57559,77647,48432,30600,11464,77704,51733,18920,3542,167,16205,15668,6398,4909,1670,511,162,87
East Staffordshire,E07000244,390,6966,7473,9072,5305,6507,16795,23575,25242,12394,7815,2875,25318,17408,6879,1594,94,15107,20845,9401,8494,2293,590,120,76
Eastbourne,E07000061,316,4718,5529,6863,4260,5224,11741,18064,20370,12318,8555,4043,19705,16400,7386,1882,236,14972,17591,9490,10074,2721,554,136,53
Eastleigh,E07000086,177,7591,8529,9991,5336,6415,17836,27131,26984,14023,8917,3693,31397,18289,6032,1150,54,31159,32259,23242,19932,8456,3194,1283,1400
Elmbridge,E07000207,266,8347,9863,11770,5601,5131,13492,31728,28005,12552,8201,4067,34389,15626,4642,876,54,14827,17990,9499,8356,2692,830,215,148
Enfield,E09000010,743,21259,22750,28793,16653,19116,44300,71281,60819,23948,14643,6424,51013,43120,20209,6012,566,7625,9961,5705,5782,1616,415,135,81
Epping Forest,E07000072,383,7921,7687,9440,5492,6840,16435,26988,27909,13727,8775,3767,27885,18102,6906,1560,104,15551,18742,8049,5803,1606,443,99,41
Epsom and Ewell,E07000208,219,4626,5323,6384,3578,3965,8793,17939,15718,7549,4944,2120,18039,9574,3057,596,55,17021,17881,7823,6378,2215,814,263,158
Erewash,E07000036,289,5493,6376,7510,4493,5744,14539,20942,24321,12489,8036,2959,24179,17054,7164,1858,79,13009,19043,7695,6693,1668,386,92,53
Exeter,E07000041,114,5884,6201,7293,10591,16349,17990,23168,21509,11178,7329,3220,26181,17439,7025,1779,130,12787,16857,6928,4979,1709,573,170,80
Fareham,E07000087,264,5158,6206,7510,4428,5243,12232,20356,25271,14062,9820,4217,26566,16065,5161,800,47,10579,14707,5620,4251,1431,438,123,67
Fenland,E07000010,207,5172,5758,6698,3932,5115,12704,18123,21556,12479,7891,3029,18370,16471,7442,1702,99,12863,14433,5201,3667,1075,246,83,38
Forest of Dean,E07000080,112,3978,4452,5528,4190,4019,9206,14071,19751,11820,7390,2601,17898,12961,5208,1101,49,30807,31231,13652,9449,2589,802,237,233
Fylde,E07000119,254,3313,3920,4892,2884,3249,8042,13418,19016,11572,7872,3202,19108,12754,4648,1030,64,15514,18965,8347,6411,1673,443,139,61
Gateshead,E08000037,446,10052,11070,13276,8028,10411,25872,36931,40732,21361,13203,5208,39877,29733,14850,4376,163,16754,18652,8986,7284,2549,812,231,139
Gedling,E07000173,290,5978,6726,8099,4456,5296,14444,22294,24680,13531,8472,3282,26151,16974,6905,1462,59,11443,13042,5385,4039,1397,405,141,70
Gloucester,E07000081,244,7459,8331,9685,6113,8486,18683,25747,25789,11662,7472,2982,27115,18696,7514,1928,154,11212,12749,7250,6607,2631,853,265,157
Gosport,E07000088,156,4241,4679,5821,3315,4250,10075,14767,17293,9361,5799,2354,16523,12813,5305,1208,73,14488,16486,6620,4492,1671,530,166,91
Gravesham,E07000109,295,6600,7155,8589,4698,5665,14148,21292,20338,9709,6215,2490,18835,14736,6385,1626,142,34048,34464,19487,15326,6348,2456,986,938
Great Yarmouth,E07000145,207,4953,5364,6712,4074,5026,11688,16883,21106,12773,8201,2963,16995,16376,8526,2471,176,14840,19409,9288,8706,2597,672,162,89
Greenwich,E09000011,480,19027,18782,21512,12589,18363,52584,68305,47680,17300,9403,3522,55022,36619,16601,5382,428,34928,32643,17123,11627,5216,2220,1043,1281
Guildford,E07000209,220,6684,7810,9802,9235,13147,17224,27423,27166,13028,8312,3815,32183,17103,5312,1074,88,17702,18910,9487,6809,2207,615,155,66
Hackney,E09000012,477,16135,15159,18384,11159,18592,63482,57714,38022,12473,5798,2230,47686,34486,16971,6333,605,29324,25940,12395,8457,3447,1074,375,232
Halton,E06000006,274,6954,7894,9682,5531,6705,16477,24861,26411,14358,7157,2445,24183,18732,9843,3088,103,10514,15394,6442,5725,1680,425,143,90
Hammersmith and Fulham,E09000013,281,9075,8824,10631,6581,16960,42789,39823,29493,10717,6079,2189,41748,25243,10555,3319,379,32293,31075,18054,13972,5509,2059,1040,1090
Harborough,E07000131,151,4719,5371,7106,4200,4344,10487,18336,21570,11429,7336,2733,23390,12472,3898,625,28,10918,11457,6940,5704,1952,588,212,86
Haringey,E09000014,474,14932,14742,18562,11580,16363,49903,63930,46516,15966,8523,3217,45524,35580,17629,5755,607,19852,23520,17121,16517,6788,3097,1250,1497
Harlow,E07000073,188,6251,6564,7413,3989,4896,14179,19577,16850,7433,4239,1943,16252,13397,6350,1669,188,9836,14388,6854,6621,1790,362,75,38
Harrow,E09000015,645,15699,16133,19750,11772,15132,38925,58062,45549,21410,13091,5680,43681,30953,12012,2763,233,13616,13844,6780,4547,1519,440,115,69
Hart,E07000089,150,5159,6268,7653,4466,4420,10915,20508,20445,9909,7000,2666,24252,11899,3264,526,23,14441,13249,5951,4419,1623,503,168,99
Hartlepool,E06000001,250,4983,5582,7088,4012,5110,11379,15945,20003,10331,5685,2216,17262,13735,7570,2278,85,15957,19947,8100,6469,2109,691,210,106
Hastings,E07000062,240,4823,5165,6305,3657,4482,11376,17068,19712,10333,5806,2279,17007,14173,7001,2076,193,26129,30782,18689,16434,6195,1986,686,377
Havant,E07000090,296,6126,6899,8316,4913,5943,14269,20666,26855,15395,10410,4415,24402,18946,8020,2020,201,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Havering,E09000016,844,16491,16862,18971,11363,14106,36233,52844,49081,23993,15142,6971,47903,34966,14859,3337,212,11527,13153,7624,7178,2310,622,170,98
Herefordshire,E06000019,293,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12944,15089,6159,4811,1332,334,74,29
Hertsmere,E07000098,318,6297,6848,8488,4716,5444,12913,22959,21021,9841,6327,2968,22141,14147,5171,1147,76,26635,29597,20484,18849,8247,3229,1223,965
High Peak,E07000037,238,4329,4804,6140,3465,4197,10174,16390,21595,11096,6539,2201,21222,13356,5024,1123,47,13972,19177,7837,6161,1695,424,123,58
Hillingdon,E09000017,706,19882,20469,23681,14871,19812,44450,68671,52905,22110,13156,5909,50136,38207,16448,4110,327,17535,23545,9676,8486,2365,585,109,67
Hinckley and Bosworth,E07000132,207,5686,6350,7686,4350,5035,13808,21228,24089,13777,8577,3054,25421,16657,6114,1200,53,26209,26606,19160,17182,7626,3294,1486,1400
Horsham,E07000227,225,7366,8013,10734,5932,6185,15955,27212,31934,17229,11350,4866,35372,19802,6037,1071,88,21564,28895,12189,10226,2912,793,212,88
Hounslow,E09000018,569,18221,19107,22172,12660,16756,45717,70967,48633,19469,10487,3992,45406,36270,16488,4377,420,11434,11402,5449,3728,1611,642,291,234
Huntingdonshire,E07000011,250,9660,10609,12302,6934,8505,22837,35830,37615,19816,12463,4261,41205,25319,8576,1699,82,19270,19363,9409,7452,2723,895,277,121
Hyndburn,E07000120,211,4927,5280,6397,3887,4538,11012,14987,16202,8287,5003,1716,14766,11847,6092,1985,100,22484,25005,8437,5906,2025,626,184,105
Ipswich,E07000202,319,8326,9049,10440,6421,7969,20710,28495,25224,12263,7413,3334,26895,20605,9332,2519,156,307,402,94,95,26,11,3,5
Isle of Wight,E06000046,255,5552,6863,8458,4981,5960,13918,21795,31913,21684,14019,5317,28569,23476,10070,2465,195,34795,32524,14660,9171,3245,1146,478,477
Isles of Scilly,E06000053,0,97,107,121,28,82,215,378,450,277,224,79,478,337,106,21,0,29232,19338,8247,5577,2619,1017,525,329
Islington,E09000019,325,11211,9973,11777,8815,18476,56063,46411,33540,11827,6148,2346,46657,29403,14577,5409,450,19829,26602,9971,7405,2510,783,255,109
Kensington and Chelsea,E09000020,251,6171,6364,7751,5440,12202,25142,30356,29351,11324,6815,2460,35174,20245,8121,2918,426,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
King's Lynn and West Norfolk,E07000146,389,7259,8366,9808,5665,7178,17739,25727,32640,20593,13897,5446,29662,24812,10524,2330,136,17716,19953,11957,11015,3482,1062,283,158
Kingston upon Hull,E06000010,611,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55176,58537,26964,22256,8985,3716,1385,970
Kingston upon Thames,E09000021,305,9559,10512,12528,7508,11155,23271,39162,30045,13327,7727,3270,36639,20274,7045,1552,116,20645,20770,12369,8436,2832,758,194,69
Kirklees,E08000034,869,25144,27647,34153,21328,25844,54869,83410,84012,42461,25146,9208,82995,59593,27052,7881,469,43154,44849,22469,14991,5477,2164,824,758
Knowsley,E08000011,395,9735,9489,10996,6556,8578,22308,27644,32974,15112,7924,3207,26952,21374,12688,4856,203,19526,21376,8885,6871,2234,724,218,149
Lambeth,E09000022,521,15265,14939,18505,11914,26755,81901,69292,51826,15837,8264,3164,67366,42725,18625,5499,473,111380,113145,51679,42206,14687,5269,1844,1256
Lancaster,E07000121,285,6740,7459,9094,9167,12777,16229,24027,28091,15678,9761,3909,29026,20314,8383,2132,124,35173,32527,20944,19347,10455,4758,2118,2063
Leeds,E08000035,1535,46801,49614,57067,42912,70459,121267,157373,139693,67998,41560,17206,164958,112338,49084,14124,962,13539,16174,6478,5236,1663,427,137,34
Leicester,E06000016,810,22302,24808,30447,23506,36112,54784,74471,58637,25263,12842,5397,49397,45634,24094,7624,639,37147,38233,21153,15941,5867,2371,874,809
Lewes,E07000063,266,4541,5312,6830,4105,4139,9510,17357,21650,13395,9012,4061,20934,15304,5977,1367,106,12662,17587,7377,5810,1610,411,111,62
Lewisham,E09000023,549,19127,18172,20841,12406,18810,58434,72036,52079,16092,8964,3593,57783,39762,18556,5755,536,14137,14441,6509,4789,1665,619,216,130
Lichfield,E07000194,281,5231,5653,6957,4210,5056,12028,19046,22729,13114,9482,2933,23731,14968,5762,1109,60,76340,62338,32801,23081,8364,2854,1054,659
Lincoln,E07000138,164,5119,5394,6233,7874,13599,15605,17975,17008,8121,4838,2047,19193,14648,6678,1865,122,21068,20469,13153,11529,6476,3335,1596,1314
Liverpool,E08000012,1280,26372,26726,29962,29128,49337,75396,87489,87357,42417,23250,8659,86264,67761,38407,14386,673,18800,25050,12023,10546,3349,959,293,187
Luton,E06000032,509,15960,16731,19875,11943,15583,34371,48268,36165,14156,8606,3601,32610,28763,13520,3732,315,7418,10698,4436,3767,1143,319,75,44
Maidstone,E07000110,398,10390,10875,12381,6937,8858,23435,35006,34373,17836,11288,4399,36704,23765,8647,1937,156,10303,14028,5071,3941,1132,307,73,35
Maldon,E07000074,139,3042,3418,4322,2687,3128,6736,11005,15320,8865,5663,2022,13842,9688,3587,754,29,71577,62664,32180,24487,12817,6275,2700,2029
Malvern Hills,E07000235,130,3114,3944,5307,3332,3284,7188,12573,18498,11416,7684,3143,18380,11642,4108,731,33,14471,17313,7982,5729,1802,513,149,73
Manchester,E08000003,913,34378,36562,43040,35722,61887,100584,108897,78705,30299,15895,5974,93533,70524,36937,12983,752,30462,35753,19650,16738,6200,1875,524,256
Mansfield,E07000174,295,5960,6590,7763,4150,5506,15102,20979,23134,11622,7104,2576,20410,16642,8443,2430,105,6363,9021,3395,2710,846,180,55,29
Medway,E06000035,729,17307,18336,21372,12875,15937,38709,55597,53585,25935,14958,5160,51808,38410,16523,4326,391,20464,24679,15139,13427,5062,1809,639,510
Melton,E07000133,91,2419,2825,3563,1976,2250,5508,8960,12095,6673,3993,1489,11989,7627,2517,439,25,10238,13825,5031,4448,1468,427,119,75
Merton,E09000024,430,13532,13300,15583,8264,11167,36356,52598,37317,14983,8501,3587,44057,25596,9632,2276,168,11983,18369,6354,5408,1601,443,128,58
Mid Devon,E07000042,69,4023,4585,6038,3419,3593,8610,14494,18197,10599,6662,2628,17503,12501,4648,937,47,17421,22501,10289,9613,2682,625,134,84
Mid Suffolk,E07000203,177,4501,5193,6701,4112,4629,11192,17440,22954,14034,8687,3259,23134,15119,5145,904,41,19964,18783,9819,7078,2823,1131,420,244
Mid Sussex,E07000228,319,8315,9382,11553,6202,6373,16848,31451,30953,16105,10689,4699,36299,19835,6078,1068,69,29795,36133,20168,17498,6312,2152,668,376
Middlesbrough,E06000002,365,8928,9795,11263,6773,10171,20642,25347,26825,13670,7536,2972,25407,20394,10816,3517,128,11053,13163,5699,5208,1515,356,94,52
Milton Keynes,E06000042,501,17733,20266,24232,12736,14986,41044,65600,50876,23402,11895,4287,57966,36777,14442,3653,264,22737,31381,10944,8818,2706,725,171,83
Mole Valley,E07000210,239,4007,4677,6362,3627,3663,8237,16386,19665,10332,7175,3255,21063,11510,3688,794,86,15746,20392,8322,6267,1893,508,137,68
New Forest,E07000091,303,7235,8645,11159,6498,7056,16203,27880,39461,25696,17833,8112,39907,26596,9265,1671,127,42031,39194,18742,13929,5284,2212,805,600
Newark and Sherwood,E07000175,223,6062,6680,8246,4946,6096,14736,21857,26660,14916,9391,3364,26200,17841,7447,1743,98,16588,19527,8551,6124,1872,536,149,76
Newcastle upon Tyne,E08000021,493,15651,16704,19321,20439,36645,44637,52598,49618,24463,13836,6219,56768,40169,19418,6149,293,27038,29262,19830,17444,10555,5546,2700,3133
Newcastle-under-Lyme,E07000195,350,5793,6509,7814,6341,8580,14415,21595,25516,14123,9092,3528,24983,18223,8190,1947,80,13257,16576,6096,4968,1605,477,136,82
Newham,E09000025,745,23855,23326,27682,17766,28285,72735,82692,49531,15398,7183,2586,45399,41296,21230,7081,501,14305,17761,6755,5291,1402,350,80,43
North Devon,E07000043,55,4512,5226,6680,3925,4237,10418,16289,21867,13221,8738,3495,20705,15124,6010,1268,90,22718,24895,10966,7689,2535,693,227,103
North East Derbyshire,E07000038,272,4839,5383,6505,3798,4573,11335,17542,22696,13316,9025,2988,21613,15772,6916,1620,66,16903,19605,9021,8111,2300,592,125,70
North East Lincolnshire,E06000012,252,8455,9513,11473,6503,7970,19727,27390,33100,17605,10882,4348,30701,24150,11618,3222,135,13989,20613,7891,6138,1778,427,110,43
North Hertfordshire,E07000099,298,7467,8238,9764,5162,5837,16308,27944,26657,13292,8675,3867,31231,17898,6259,1261,83,21366,27626,11507,8456,2908,913,259,142
North Kesteven,E07000139,195,5530,6613,7915,4626,5500,13698,20940,25643,14293,9914,3403,26651,17158,6082,1062,36,16319,20337,5726,4099,1328,383,130,52
North Lincolnshire,E06000013,278,8444,9648,12120,6894,8123,20309,29947,36916,20248,12302,4723,33731,25637,11151,2565,89,29090,34811,13872,12183,3475,877,222,119
North Norfolk,E07000147,185,3664,4423,5748,3474,3883,8941,14611,23744,17794,11781,4925,21480,18213,7186,1413,82,33553,33266,14822,10971,2735,680,149,56
North Somerset,E06000024,333,10660,12251,15251,8410,9784,23125,40612,44764,26475,18043,7352,48754,31684,11454,2565,190,7642,10250,4628,3556,1084,301,89,30
North Tyneside,E08000022,431,10992,11939,14525,7997,9505,26067,41588,43449,23970,13480,5440,47576,31265,13730,3546,119,12497,17024,7367,5754,1667,490,118,55
North Warwickshire,E07000218,150,3205,3636,4295,2560,3135,7792,11557,14582,7699,4861,1713,13032,9634,3992,887,35,48149,56863,21121,15118,4219,1073,268,111
North West Leicestershire,E07000134,211,5454,5872,7214,4281,5788,12986,19966,22142,11716,7011,2276,23178,14910,5672,1161,52,25098,20646,8800,6472,2307,833,198,108
Northumberland,E06000057,700,14235,16686,20800,12287,13906,32860,54495,73747,45559,26405,9585,71280,49905,20510,5035,191,41971,37590,18696,14280,6776,3115,1284,1033
Norwich,E07000148,200,6933,7597,8632,8977,16471,23745,27618,22444,11469,6921,3119,28982,22168,10055,3052,202,16345,19618,9818,7198,2515,776,206,110
Nottingham,E06000018,636,17820,19251,22240,28260,43635,48488,57153,48815,20685,11979,5301,51881,42946,22536,7016,366,6347,7306,3760,3329,1251,415,134,75
Nuneaton and Bedworth,E07000219,274,7756,8165,9691,5420,7071,18454,25385,26658,13833,8790,2981,25493,19579,9027,2337,150,27396,28070,15256,11738,5397,2743,1261,1278
Oadby and Wigston,E07000135,161,2863,3506,4168,3541,2926,6655,10488,11303,6038,4229,2036,11109,7829,3091,549,37,16096,17088,8842,7476,3182,1310,682,563
Oldham,E08000004,628,16005,17445,21603,12719,14133,31695,46131,43742,21455,12941,4212,38130,32275,16920,5520,292,11824,12183,5508,4255,2189,1159,479,469
Oxford,E07000178,175,7137,7852,10333,14190,21992,28671,29448,23446,10087,6111,2772,28832,17781,6713,1767,146,23516,26700,14515,11619,4858,2019,769,536
Pendle,E07000122,260,5952,6553,8030,4504,5222,12025,18263,17961,9753,5466,2024,16180,13333,6450,1999,104,37338,40178,17651,13129,4290,1347,379,245
Peterborough,E06000031,316,14163,15730,18207,9836,11679,32624,46391,36455,16743,9792,4056,38082,29514,13102,3578,257,27607,27805,13930,10788,4032,1291,476,225
Plymouth,E06000026,207,13205,15124,17742,13212,21172,36334,48720,50215,26060,16427,6482,52100,38898,18228,5049,282,19400,18312,9564,7401,3127,1195,366,244
Portsmouth,E06000044,355,11280,12128,13776,12372,20042,31325,39621,36670,16549,10019,4220,40658,28802,12890,3524,281,19262,21183,11577,9585,3685,1426,584,381
Preston,E07000123,311,8919,9241,11004,8001,12599,21744,28067,26454,11884,6983,2939,27785,20032,8931,2700,159,23886,24386,18837,19096,9526,4295,1955,1732
Reading,E06000038,267,10238,10486,12140,9093,14690,30212,38727,27668,11148,6938,2895,34684,21772,8682,2350,195,20663,21884,9591,6554,2136,590,143,77
Redbridge,E09000026,816,21194,21733,25315,15425,18967,46639,72127,50929,20909,11802,5220,47994,36254,15319,3869,277,10102,12798,6307,4817,1647,488,141,78
Redcar and Cleveland,E06000003,315,6814,7874,9501,5616,6575,15370,22806,30231,17172,10820,3757,27192,21064,10307,2969,106,15797,19597,10617,9950,2869,732,183,104
Redditch,E07000236,172,4992,5401,6393,3606,4487,12156,17433,16412,9488,5047,1619,17057,12511,5375,1338,97,7807,10220,4238,3273,905,204,64,36
Reigate and Banstead,E07000211,399,9042,10020,11650,5893,6539,18883,32716,29388,13874,8677,4170,34148,18454,5919,1230,98,23871,25216,13861,12962,3615,841,228,111
Ribble Valley,E07000124,145,2633,3045,4421,2507,2714,6136,10549,14701,7807,5117,1928,15673,8156,2455,436,27,27641,27854,14951,11210,5003,2146,849,569
Richmond upon Thames,E09000027,295,11103,12813,15531,7849,8229,22049,46948,39309,17084,10222,4141,49261,22644,6992,1678,130,9360,12823,5855,5470,1556,363,99,33
Rochdale,E08000005,600,14642,15475,18712,10473,12201,29992,43427,41986,21187,11574,4106,38481,30724,15621,5084,313,9708,10398,4922,3737,1221,367,136,73
Rochford,E07000075,268,4258,4614,6078,3516,4197,9143,15490,18369,10294,6949,2759,17569,12393,4779,765,51,13713,16801,5463,4069,1371,467,141,76
Rossendale,E07000125,166,3780,4360,5431,2942,3247,8707,13471,15277,7884,4254,1523,14666,10071,4496,1270,58,34225,40346,18652,13936,4593,1387,471,315
Rother,E07000064,349,3732,4229,5660,3398,3752,8046,13231,20872,15187,10503,4501,19251,15475,6112,1192,72,12774,16643,8006,6708,2044,548,179,111
Rotherham,E08000018,745,14645,15980,19609,11403,14097,34428,48940,54477,28241,17862,6124,49653,38666,19862,5520,224,9939,11461,5859,5188,1678,501,146,67
Rugby,E07000220,173,6368,7112,8696,4733,5570,15595,23518,21965,10535,7510,2764,25096,15539,5231,1106,44,13822,18574,7795,7172,1911,432,123,53
Runnymede,E07000212,155,4781,4788,5794,5620,7443,10631,17378,16487,7582,5109,2472,18603,11306,4106,773,50,10502,12618,7036,5974,2045,757,250,118
Rushcliffe,E07000176,203,5850,6862,8642,5076,6309,12911,23123,24564,13317,8688,3736,29124,15231,4752,754,21,4786,6814,2344,1994,583,126,36,11
Rushmoor,E07000092,219,6196,6094,6595,4034,5593,16398,21143,18575,8273,5112,1745,20081,12889,5038,1212,84,39141,37670,18097,12359,4608,1794,664,785
Rutland,E06000017,65,1644,1972,3136,2165,1849,4320,7009,8569,5331,3599,1456,9675,5284,1529,198,8,38042,36353,21854,18634,8688,3828,1556,1291
Salford,E08000006,619,17258,16713,19030,12523,22659,50876,51795,43151,19652,11892,4378,53457,37170,18229,5963,297,41520,40852,19654,14538,4632,1297,334,249
Sandwell,E08000028,963,22176,24566,29062,17296,20373,47432,70068,61158,26514,16827,6363,49388,46056,26244,8161,395,12990,16893,8198,7760,2396,562,130,82
Sefton,E08000014,781,13508,15071,18264,11061,13499,32375,49083,61604,33385,22027,9354,55668,41850,19817,5463,275,75759,77636,34992,27650,10083,3605,1306,919
Sevenoaks,E07000111,275,6724,7586,9601,4996,4964,12375,23382,24959,13343,8760,3826,26797,15559,5399,1193,65,15728,17799,6863,5199,1821,629,195,105
Sheffield,E08000019,1204,30178,32016,38076,31428,50872,79401,99412,100315,49414,32630,12777,105238,78863,36628,10582,639,41428,54661,20205,16078,4835,1396,505,471
Folkestone and Hythe,E07000112,364,5112,5787,7306,4100,5246,12030,18806,23940,14691,9263,3473,21473,17142,7645,1919,159,11948,11950,9848,9564,4666,2369,1011,1067
Shropshire,E06000051,539,14422,16249,20689,13474,15125,34824,53927,72810,42768,28497,10823,70872,47508,17359,3697,143,25852,29628,14787,13210,4263,1182,369,193
Slough,E06000039,313,11774,12690,15104,7638,8949,23509,39331,24184,8940,4471,1908,22184,19176,8603,2293,168,17574,24328,10870,10359,2995,665,132,73
Solihull,E08000029,550,11694,13771,16274,9134,10755,25006,39960,44042,23014,15883,6703,45378,28916,12109,2915,165,12249,17057,7552,5969,1764,462,137,50
South Cambridgeshire,E07000012,182,8772,10382,12604,6721,6290,18425,34822,32297,16587,10813,4403,39133,20695,6077,1055,36,30747,42563,19821,17980,5059,1360,382,189
South Derbyshire,E07000039,238,5762,6445,8047,4351,5201,14049,20918,22494,11259,6430,2247,24546,14303,5298,1057,35,11621,15975,5492,4368,1369,361,90,61
South Gloucestershire,E06000025,390,16119,17128,19812,13115,18098,39885,55813,56261,27565,19089,7538,63701,38638,13163,2454,145,11051,16115,6469,4747,1616,484,139,81
South Hams,E07000044,45,3529,4441,5689,3331,3340,8013,14160,21044,13500,8279,3302,20843,13180,4431,830,51,18226,24516,9546,7587,2200,571,138,66
South Holland,E07000140,177,4733,5141,6250,3490,4548,11083,16911,20269,11844,7778,3072,17927,15205,6323,1193,55,16990,24606,9127,7793,2106,546,143,70
South Kesteven,E07000141,271,6752,8131,10509,5712,6110,15572,26103,31396,17697,11255,4163,32490,21181,7674,1445,60,16105,22830,10037,9007,2639,640,165,74
